uuid,timestamp,event,amount_loan,risk_level,assessment,income
1552,2022-12-08 22:29:47,Inform Customer,,,,
1553,2022-11-26 15:39:28,Customer applies for loan,,,,
1553,2022-11-26 17:39:28,Check application data,99896,,,1858
1553,2022-11-26 19:39:28,Extensive Check,,2,,
1553,2022-11-26 21:39:28,Overall Assessment,,,,
1553,2022-11-26 23:39:28,Inform Customer,,,,
1554,2022-12-10 12:33:10,Customer applies for loan,,,,
1554,2022-12-10 14:33:10,Check application data,20356,,,6728
1554,2022-12-10 16:33:10,Normal Check,,4,,
1554,2022-12-10 18:33:10,Overall Assessment,,,,
1554,2022-12-10 20:33:10,Inform Customer,,,,
1555,2022-12-04 09:49:32,Customer applies for loan,,,,
1555,2022-12-04 11:49:32,Check application data,86359,,,4771
1555,2022-12-04 13:49:32,Extensive Check,,4,,
1555,2022-12-04 15:49:32,Overall Assessment,,,,
1555,2022-12-04 17:49:32,Inform Customer,,,,
1556,2022-12-09 15:12:19,Customer applies for loan,,,,
1556,2022-12-09 17:12:19,Check application data,83426,,,6761
1556,2022-12-09 19:12:19,Extensive Check,,1,,
1556,2022-12-09 21:12:19,Overall Assessment,,,,
1556,2022-12-09 23:12:19,Inform Customer,,,,
1557,2022-12-07 11:31:32,Customer applies for loan,,,,
1557,2022-12-07 13:31:32,Check application data,60124,,,3963
1557,2022-12-07 15:31:32,Normal Check,,3,,
1557,2022-12-07 17:31:32,Overall Assessment,,,,
1557,2022-12-07 19:31:32,Inform Customer,,,,
1558,2022-12-03 14:15:58,Customer applies for loan,,,,
1558,2022-12-03 16:15:58,Check application data,16977,,,4337
1558,2022-12-03 18:15:58,Normal Check,,3,,
1558,2022-12-03 20:15:58,Overall Assessment,,,,
1558,2022-12-03 22:15:58,Inform Customer,,,,
1559,2022-11-27 14:41:56,Customer applies for loan,,,,
1559,2022-11-27 16:41:56,Check application data,36218,,,1445
1559,2022-11-27 18:41:56,Normal Check,,1,,
1559,2022-11-27 20:41:56,Overall Assessment,,,,
1559,2022-11-27 22:41:56,Inform Customer,,,,
1560,2022-11-27 11:52:11,Customer applies for loan,,,,
1560,2022-11-27 13:52:11,Check application data,68818,,,5960
1560,2022-11-27 15:52:11,Normal Check,,2,,
1560,2022-11-27 17:52:11,Overall Assessment,,,,
1560,2022-11-27 19:52:11,Inform Customer,,,,
1561,2022-12-15 16:10:25,Customer applies for loan,,,,
1561,2022-12-15 18:10:25,Check application data,86070,,,6017
1561,2022-12-15 20:10:25,Extensive Check,,0,,
1561,2022-12-15 22:10:25,Overall Assessment,,,,
1561,2022-12-16 00:10:25,Inform Customer,,,,
1562,2022-12-05 13:10:20,Customer applies for loan,,,,
1562,2022-12-05 15:10:20,Check application data,12846,,,1526
1562,2022-12-05 17:10:20,Normal Check,,3,,
1562,2022-12-05 19:10:20,Overall Assessment,,,,
1562,2022-12-05 21:10:20,Inform Customer,,,,
1563,2022-12-14 08:27:17,Customer applies for loan,,,,
1563,2022-12-14 10:27:17,Check application data,44611,,,3837
1563,2022-12-14 12:27:17,Normal Check,,4,,
1563,2022-12-14 14:27:17,Overall Assessment,,,,
1563,2022-12-14 16:27:17,Inform Customer,,,,
1564,2022-12-08 10:21:44,Customer applies for loan,,,,
1564,2022-12-08 12:21:44,Check application data,89050,,,1699
1564,2022-12-08 14:21:44,Extensive Check,,1,,
1564,2022-12-08 16:21:44,Overall Assessment,,,,
1564,2022-12-08 18:21:44,Inform Customer,,,,
1565,2022-12-12 14:45:39,Customer applies for loan,,,,
1565,2022-12-12 16:45:39,Check application data,95451,,,2637
1565,2022-12-12 18:45:39,Extensive Check,,1,,
1565,2022-12-12 20:45:39,Overall Assessment,,,,
1565,2022-12-12 22:45:39,Inform Customer,,,,
1566,2022-11-27 08:30:30,Customer applies for loan,,,,
1566,2022-11-27 10:30:30,Check application data,75031,,,4437
1566,2022-11-27 12:30:30,Normal Check,,3,,
1566,2022-11-27 14:30:30,Overall Assessment,,,,
1566,2022-11-27 16:30:30,Inform Customer,,,,
1567,2022-11-30 12:48:29,Customer applies for loan,,,,
1567,2022-11-30 14:48:29,Check application data,98500,,,9288
1567,2022-11-30 16:48:29,Extensive Check,,4,,
1567,2022-11-30 18:48:29,Overall Assessment,,,,
1567,2022-11-30 20:48:29,Inform Customer,,,,
1568,2022-12-01 11:51:06,Customer applies for loan,,,,
1568,2022-12-01 13:51:06,Check application data,29337,,,1805
1568,2022-12-01 15:51:06,Normal Check,,2,,
1568,2022-12-01 17:51:06,Overall Assessment,,,,
1568,2022-12-01 19:51:06,Inform Customer,,,,
1569,2022-12-10 11:35:13,Customer applies for loan,,,,
1569,2022-12-10 13:35:13,Check application data,11754,,,2774
1569,2022-12-10 15:35:13,Normal Check,,3,,
1569,2022-12-10 17:35:13,Overall Assessment,,,,
1569,2022-12-10 19:35:13,Inform Customer,,,,
1570,2022-12-15 18:47:21,Customer applies for loan,,,,
1570,2022-12-15 20:47:21,Check application data,35118,,,9573
1570,2022-12-15 22:47:21,Normal Check,,0,,
1570,2022-12-16 00:47:21,Overall Assessment,,,,
1570,2022-12-16 02:47:21,Inform Customer,,,,
1571,2022-12-04 14:41:58,Customer applies for loan,,,,
1571,2022-12-04 16:41:58,Check application data,26155,,,3178
1571,2022-12-04 18:41:58,Normal Check,,2,,
1571,2022-12-04 20:41:58,Overall Assessment,,,,
1571,2022-12-04 22:41:58,Inform Customer,,,,
1572,2022-11-26 15:43:52,Customer applies for loan,,,,
1572,2022-11-26 17:43:52,Check application data,10369,,,3790
1572,2022-11-26 19:43:52,Normal Check,,1,,
1572,2022-11-26 21:43:52,Overall Assessment,,,,
1572,2022-11-26 23:43:52,Inform Customer,,,,
1573,2022-12-09 18:55:02,Customer applies for loan,,,,
1573,2022-12-09 20:55:02,Check application data,39355,,,7521
1573,2022-12-09 22:55:02,Normal Check,,2,,
1573,2022-12-10 00:55:02,Overall Assessment,,,,
1573,2022-12-10 02:55:02,Inform Customer,,,,
1574,2022-12-13 12:47:55,Customer applies for loan,,,,
1574,2022-12-13 14:47:55,Check application data,12381,,,6792
1574,2022-12-13 16:47:55,Normal Check,,2,,
1574,2022-12-13 18:47:55,Overall Assessment,,,,
1574,2022-12-13 20:47:55,Inform Customer,,,,
1575,2022-11-29 10:13:33,Customer applies for loan,,,,
1575,2022-11-29 12:13:33,Check application data,19404,,,5497
1575,2022-11-29 14:13:33,Normal Check,,0,,
1575,2022-11-29 16:13:33,Overall Assessment,,,,
1575,2022-11-29 18:13:33,Inform Customer,,,,
1576,2022-11-30 10:02:50,Customer applies for loan,,,,
1576,2022-11-30 12:02:50,Check application data,97950,,,8832
1576,2022-11-30 14:02:50,Extensive Check,,3,,
1576,2022-11-30 16:02:50,Overall Assessment,,,,
1576,2022-11-30 18:02:50,Inform Customer,,,,
1577,2022-12-03 08:51:00,Customer applies for loan,,,,
1577,2022-12-03 10:51:00,Check application data,20649,,,4277
1577,2022-12-03 12:51:00,Normal Check,,0,,
1577,2022-12-03 14:51:00,Overall Assessment,,,,
1577,2022-12-03 16:51:00,Inform Customer,,,,
1578,2022-12-06 18:43:02,Customer applies for loan,,,,
1578,2022-12-06 20:43:02,Check application data,33401,,,2437
1578,2022-12-06 22:43:02,Normal Check,,4,,
1578,2022-12-07 00:43:02,Overall Assessment,,,,
1578,2022-12-07 02:43:02,Inform Customer,,,,
1579,2022-12-03 13:26:10,Customer applies for loan,,,,
1579,2022-12-03 15:26:10,Check application data,73894,,,4419
1579,2022-12-03 17:26:10,Normal Check,,0,,
1579,2022-12-03 19:26:10,Overall Assessment,,,,
1579,2022-12-03 21:26:10,Inform Customer,,,,
1580,2022-12-15 15:38:46,Customer applies for loan,,,,
1580,2022-12-15 17:38:46,Check application data,41482,,,7868
1580,2022-12-15 19:38:46,Normal Check,,4,,
1580,2022-12-15 21:38:46,Overall Assessment,,,,
1580,2022-12-15 23:38:46,Inform Customer,,,,
1581,2022-12-10 17:05:47,Customer applies for loan,,,,
1581,2022-12-10 19:05:47,Check application data,45734,,,6457
1581,2022-12-10 21:05:47,Normal Check,,4,,
1581,2022-12-10 23:05:47,Overall Assessment,,,,
1581,2022-12-11 01:05:47,Inform Customer,,,,
1582,2022-12-02 08:12:23,Customer applies for loan,,,,
1582,2022-12-02 10:12:23,Check application data,93438,,,8179
1582,2022-12-02 12:12:23,Extensive Check,,1,,
1582,2022-12-02 14:12:23,Overall Assessment,,,,
1582,2022-12-02 16:12:23,Inform Customer,,,,
1583,2022-12-01 09:12:44,Customer applies for loan,,,,
1583,2022-12-01 11:12:44,Check application data,97404,,,5988
1583,2022-12-01 13:12:44,Extensive Check,,3,,
1583,2022-12-01 15:12:44,Overall Assessment,,,,
1583,2022-12-01 17:12:44,Inform Customer,,,,
1584,2022-11-26 12:47:17,Customer applies for loan,,,,
1584,2022-11-26 14:47:17,Check application data,88720,,,4182
1584,2022-11-26 16:47:17,Extensive Check,,2,,
1584,2022-11-26 18:47:17,Overall Assessment,,,,
1584,2022-11-26 20:47:17,Inform Customer,,,,
1585,2022-12-08 12:47:49,Customer applies for loan,,,,
1585,2022-12-08 14:47:49,Check application data,27619,,,4830
1585,2022-12-08 16:47:49,Normal Check,,0,,
1585,2022-12-08 18:47:49,Overall Assessment,,,,
1585,2022-12-08 20:47:49,Inform Customer,,,,
1586,2022-12-02 17:49:37,Customer applies for loan,,,,
1586,2022-12-02 19:49:37,Check application data,74230,,,9530
1586,2022-12-02 21:49:37,Normal Check,,3,,
1586,2022-12-02 23:49:37,Overall Assessment,,,,
1586,2022-12-03 01:49:37,Inform Customer,,,,
1587,2022-11-29 18:14:18,Customer applies for loan,,,,
1587,2022-11-29 20:14:18,Check application data,80431,,,6696
1587,2022-11-29 22:14:18,Extensive Check,,4,,
1587,2022-11-30 00:14:18,Overall Assessment,,,,
1587,2022-11-30 02:14:18,Inform Customer,,,,
1588,2022-11-30 18:52:40,Customer applies for loan,,,,
1588,2022-11-30 20:52:40,Check application data,19037,,,6206
1588,2022-11-30 22:52:40,Normal Check,,0,,
1588,2022-12-01 00:52:40,Overall Assessment,,,,
1588,2022-12-01 02:52:40,Inform Customer,,,,
1589,2022-12-11 13:04:40,Customer applies for loan,,,,
1589,2022-12-11 15:04:40,Check application data,14709,,,2520
1589,2022-12-11 17:04:40,Normal Check,,0,,
1589,2022-12-11 19:04:40,Overall Assessment,,,,
1589,2022-12-11 21:04:40,Inform Customer,,,,
1590,2022-12-12 18:25:15,Customer applies for loan,,,,
1590,2022-12-12 20:25:15,Check application data,71401,,,1110
1590,2022-12-12 22:25:15,Normal Check,,0,,
1590,2022-12-13 00:25:15,Overall Assessment,,,,
1590,2022-12-13 02:25:15,Inform Customer,,,,
1591,2022-11-26 15:23:23,Customer applies for loan,,,,
1591,2022-11-26 17:23:23,Check application data,22868,,,4553
1591,2022-11-26 19:23:23,Normal Check,,0,,
1591,2022-11-26 21:23:23,Overall Assessment,,,,
1591,2022-11-26 23:23:23,Inform Customer,,,,
1592,2022-12-01 13:12:44,Customer applies for loan,,,,
1592,2022-12-01 15:12:44,Check application data,69218,,,1330
1592,2022-12-01 17:12:44,Normal Check,,1,,
1592,2022-12-01 19:12:44,Overall Assessment,,,,
1592,2022-12-01 21:12:44,Inform Customer,,,,
1593,2022-11-27 12:47:23,Customer applies for loan,,,,
1593,2022-11-27 14:47:23,Check application data,51868,,,2723
1593,2022-11-27 16:47:23,Normal Check,,3,,
1593,2022-11-27 18:47:23,Overall Assessment,,,,
1593,2022-11-27 20:47:23,Inform Customer,,,,
1594,2022-12-05 18:00:53,Customer applies for loan,,,,
1594,2022-12-05 20:00:53,Check application data,94001,,,6119
1594,2022-12-05 22:00:53,Extensive Check,,1,,
1594,2022-12-06 00:00:53,Overall Assessment,,,,
1594,2022-12-06 02:00:53,Inform Customer,,,,
1595,2022-12-03 08:54:03,Customer applies for loan,,,,
1595,2022-12-03 10:54:03,Check application data,26863,,,8257
1595,2022-12-03 12:54:03,Normal Check,,3,,
1595,2022-12-03 14:54:03,Overall Assessment,,,,
1595,2022-12-03 16:54:03,Inform Customer,,,,
1596,2022-11-26 12:55:44,Customer applies for loan,,,,
1596,2022-11-26 14:55:44,Check application data,59809,,,3267
1596,2022-11-26 16:55:44,Normal Check,,4,,
1596,2022-11-26 18:55:44,Overall Assessment,,,,
1596,2022-11-26 20:55:44,Inform Customer,,,,
1597,2022-12-06 12:57:31,Customer applies for loan,,,,
1597,2022-12-06 14:57:31,Check application data,60748,,,3490
1597,2022-12-06 16:57:31,Normal Check,,3,,
1597,2022-12-06 18:57:31,Overall Assessment,,,,
1597,2022-12-06 20:57:31,Inform Customer,,,,
1598,2022-12-01 09:20:39,Customer applies for loan,,,,
1598,2022-12-01 11:20:39,Check application data,44626,,,2398
1598,2022-12-01 13:20:39,Normal Check,,1,,
1598,2022-12-01 15:20:39,Overall Assessment,,,,
1598,2022-12-01 17:20:39,Inform Customer,,,,
1599,2022-12-13 08:46:53,Customer applies for loan,,,,
1599,2022-12-13 10:46:53,Check application data,49566,,,7735
1599,2022-12-13 12:46:53,Normal Check,,3,,
1599,2022-12-13 14:46:53,Overall Assessment,,,,
1599,2022-12-13 16:46:53,Inform Customer,,,,
1600,2022-11-28 12:59:34,Customer applies for loan,,,,
1600,2022-11-28 14:59:34,Check application data,84195,,,3137
1600,2022-11-28 16:59:34,Extensive Check,,1,,
1600,2022-11-28 18:59:34,Overall Assessment,,,,
1600,2022-11-28 20:59:34,Inform Customer,,,,
1601,2022-12-14 11:12:08,Customer applies for loan,,,,
1601,2022-12-14 13:12:08,Check application data,69478,,,1458
1601,2022-12-14 15:12:08,Normal Check,,1,,
1601,2022-12-14 17:12:08,Overall Assessment,,,,
1601,2022-12-14 19:12:08,Inform Customer,,,,
1602,2022-12-10 09:38:12,Customer applies for loan,,,,
1602,2022-12-10 11:38:12,Check application data,63121,,,8204
1602,2022-12-10 13:38:12,Normal Check,,2,,
1602,2022-12-10 15:38:12,Overall Assessment,,,,
1602,2022-12-10 17:38:12,Inform Customer,,,,
1603,2022-12-07 15:59:26,Customer applies for loan,,,,
1603,2022-12-07 17:59:26,Check application data,10782,,,3921
1603,2022-12-07 19:59:26,Normal Check,,0,,
1603,2022-12-07 21:59:26,Overall Assessment,,,,
1603,2022-12-07 23:59:26,Inform Customer,,,,
1604,2022-12-09 09:32:22,Customer applies for loan,,,,
1604,2022-12-09 11:32:22,Check application data,98116,,,3922
1604,2022-12-09 13:32:22,Extensive Check,,4,,
1604,2022-12-09 15:32:22,Overall Assessment,,,,
1604,2022-12-09 17:32:22,Inform Customer,,,,
1605,2022-12-01 14:16:34,Customer applies for loan,,,,
1605,2022-12-01 16:16:34,Check application data,60867,,,2685
1605,2022-12-01 18:16:34,Normal Check,,4,,
1605,2022-12-01 20:16:34,Overall Assessment,,,,
1605,2022-12-01 22:16:34,Inform Customer,,,,
1606,2022-12-11 08:59:15,Customer applies for loan,,,,
1606,2022-12-11 10:59:15,Check application data,41342,,,3924
1606,2022-12-11 12:59:15,Normal Check,,1,,
1606,2022-12-11 14:59:15,Overall Assessment,,,,
1606,2022-12-11 16:59:15,Inform Customer,,,,
1607,2022-12-10 14:38:35,Customer applies for loan,,,,
1607,2022-12-10 16:38:35,Check application data,34518,,,8126
1607,2022-12-10 18:38:35,Normal Check,,3,,
1607,2022-12-10 20:38:35,Overall Assessment,,,,
1607,2022-12-10 22:38:35,Inform Customer,,,,
1608,2022-12-02 09:11:05,Customer applies for loan,,,,
1608,2022-12-02 11:11:05,Check application data,96347,,,5105
1608,2022-12-02 13:11:05,Extensive Check,,0,,
1608,2022-12-02 15:11:05,Overall Assessment,,,,
1608,2022-12-02 17:11:05,Inform Customer,,,,
1609,2022-12-11 15:21:53,Customer applies for loan,,,,
1609,2022-12-11 17:21:53,Check application data,15646,,,6706
1609,2022-12-11 19:21:53,Normal Check,,3,,
1609,2022-12-11 21:21:53,Overall Assessment,,,,
1609,2022-12-11 23:21:53,Inform Customer,,,,
1610,2022-12-15 14:08:43,Customer applies for loan,,,,
1610,2022-12-15 16:08:43,Check application data,60928,,,2868
1610,2022-12-15 18:08:43,Normal Check,,1,,
1610,2022-12-15 20:08:43,Overall Assessment,,,,
1610,2022-12-15 22:08:43,Inform Customer,,,,
1611,2022-11-30 17:33:48,Customer applies for loan,,,,
1611,2022-11-30 19:33:48,Check application data,59120,,,4205
1611,2022-11-30 21:33:48,Normal Check,,2,,
1611,2022-11-30 23:33:48,Overall Assessment,,,,
1611,2022-12-01 01:33:48,Inform Customer,,,,
1612,2022-11-28 11:49:25,Customer applies for loan,,,,
1612,2022-11-28 13:49:25,Check application data,33950,,,5097
1612,2022-11-28 15:49:25,Normal Check,,0,,
1612,2022-11-28 17:49:25,Overall Assessment,,,,
1612,2022-11-28 19:49:25,Inform Customer,,,,
1613,2022-12-13 10:43:02,Customer applies for loan,,,,
1613,2022-12-13 12:43:02,Check application data,24422,,,2045
1613,2022-12-13 14:43:02,Normal Check,,3,,
1613,2022-12-13 16:43:02,Overall Assessment,,,,
1613,2022-12-13 18:43:02,Inform Customer,,,,
1614,2022-11-30 09:41:19,Customer applies for loan,,,,
1614,2022-11-30 11:41:19,Check application data,54889,,,6138
1614,2022-11-30 13:41:19,Normal Check,,1,,
1614,2022-11-30 15:41:19,Overall Assessment,,,,
1614,2022-11-30 17:41:19,Inform Customer,,,,
1615,2022-11-30 13:49:17,Customer applies for loan,,,,
1615,2022-11-30 15:49:17,Check application data,40146,,,9407
1615,2022-11-30 17:49:17,Normal Check,,2,,
1615,2022-11-30 19:49:17,Overall Assessment,,,,
1615,2022-11-30 21:49:17,Inform Customer,,,,
1616,2022-12-01 14:39:59,Customer applies for loan,,,,
1616,2022-12-01 16:39:59,Check application data,50894,,,4156
1616,2022-12-01 18:39:59,Normal Check,,4,,
1616,2022-12-01 20:39:59,Overall Assessment,,,,
1616,2022-12-01 22:39:59,Inform Customer,,,,
1617,2022-11-28 09:09:12,Customer applies for loan,,,,
1617,2022-11-28 11:09:12,Check application data,21986,,,5272
1617,2022-11-28 13:09:12,Normal Check,,0,,
1617,2022-11-28 15:09:12,Overall Assessment,,,,
1617,2022-11-28 17:09:12,Inform Customer,,,,
1618,2022-12-14 08:18:05,Customer applies for loan,,,,
1618,2022-12-14 10:18:05,Check application data,50977,,,6415
1618,2022-12-14 12:18:05,Normal Check,,2,,
1618,2022-12-14 14:18:05,Overall Assessment,,,,
1618,2022-12-14 16:18:05,Inform Customer,,,,
1619,2022-12-08 09:16:46,Customer applies for loan,,,,
1619,2022-12-08 11:16:46,Check application data,78090,,,2139
1619,2022-12-08 13:16:46,Normal Check,,3,,
1619,2022-12-08 15:16:46,Overall Assessment,,,,
1619,2022-12-08 17:16:46,Inform Customer,,,,
1620,2022-12-10 09:55:15,Customer applies for loan,,,,
1620,2022-12-10 11:55:15,Check application data,95472,,,9833
1620,2022-12-10 13:55:15,Extensive Check,,0,,
1620,2022-12-10 15:55:15,Overall Assessment,,,,
1620,2022-12-10 17:55:15,Inform Customer,,,,
1621,2022-12-04 13:47:05,Customer applies for loan,,,,
1621,2022-12-04 15:47:05,Check application data,66536,,,7289
1621,2022-12-04 17:47:05,Normal Check,,4,,
1621,2022-12-04 19:47:05,Overall Assessment,,,,
1621,2022-12-04 21:47:05,Inform Customer,,,,
1622,2022-11-28 09:49:20,Customer applies for loan,,,,
1622,2022-11-28 11:49:20,Check application data,30788,,,8657
1622,2022-11-28 13:49:20,Normal Check,,0,,
1622,2022-11-28 15:49:20,Overall Assessment,,,,
1622,2022-11-28 17:49:20,Inform Customer,,,,
1623,2022-12-11 10:42:39,Customer applies for loan,,,,
1623,2022-12-11 12:42:39,Check application data,39061,,,2720
1623,2022-12-11 14:42:39,Normal Check,,4,,
1623,2022-12-11 16:42:39,Overall Assessment,,,,
1623,2022-12-11 18:42:39,Inform Customer,,,,
1624,2022-12-13 08:52:17,Customer applies for loan,,,,
1624,2022-12-13 10:52:17,Check application data,57567,,,5386
1624,2022-12-13 12:52:17,Normal Check,,4,,
1624,2022-12-13 14:52:17,Overall Assessment,,,,
1624,2022-12-13 16:52:17,Inform Customer,,,,
1625,2022-12-13 10:40:07,Customer applies for loan,,,,
1625,2022-12-13 12:40:07,Check application data,12555,,,9050
1625,2022-12-13 14:40:07,Normal Check,,4,,
1625,2022-12-13 16:40:07,Overall Assessment,,,,
1625,2022-12-13 18:40:07,Inform Customer,,,,
1626,2022-12-04 09:01:40,Customer applies for loan,,,,
1626,2022-12-04 11:01:40,Check application data,94753,,,3011
1626,2022-12-04 13:01:40,Extensive Check,,2,,
1626,2022-12-04 15:01:40,Overall Assessment,,,,
1626,2022-12-04 17:01:40,Inform Customer,,,,
1627,2022-12-08 13:09:51,Customer applies for loan,,,,
1627,2022-12-08 15:09:51,Check application data,94902,,,7975
1627,2022-12-08 17:09:51,Extensive Check,,3,,
1627,2022-12-08 19:09:51,Overall Assessment,,,,
1627,2022-12-08 21:09:51,Inform Customer,,,,
1628,2022-12-03 13:11:26,Customer applies for loan,,,,
1628,2022-12-03 15:11:26,Check application data,11661,,,8175
1628,2022-12-03 17:11:26,Normal Check,,4,,
1628,2022-12-03 19:11:26,Overall Assessment,,,,
1628,2022-12-03 21:11:26,Inform Customer,,,,
1629,2022-12-09 16:37:18,Customer applies for loan,,,,
1629,2022-12-09 18:37:18,Check application data,88280,,,1772
1629,2022-12-09 20:37:18,Extensive Check,,3,,
1629,2022-12-09 22:37:18,Overall Assessment,,,,
1629,2022-12-10 00:37:18,Inform Customer,,,,
1630,2022-11-27 16:45:16,Customer applies for loan,,,,
1630,2022-11-27 18:45:16,Check application data,85677,,,8954
1630,2022-11-27 20:45:16,Extensive Check,,0,,
1630,2022-11-27 22:45:16,Overall Assessment,,,,
1630,2022-11-28 00:45:16,Inform Customer,,,,
1631,2022-12-03 08:13:40,Customer applies for loan,,,,
1631,2022-12-03 10:13:40,Check application data,37459,,,8866
1631,2022-12-03 12:13:40,Normal Check,,0,,
1631,2022-12-03 14:13:40,Overall Assessment,,,,
1631,2022-12-03 16:13:40,Inform Customer,,,,
1632,2022-12-08 18:15:02,Customer applies for loan,,,,
1632,2022-12-08 20:15:02,Check application data,96449,,,4085
1632,2022-12-08 22:15:02,Extensive Check,,1,,
1632,2022-12-09 00:15:02,Overall Assessment,,,,
1632,2022-12-09 02:15:02,Inform Customer,,,,
1633,2022-12-02 18:55:48,Customer applies for loan,,,,
1633,2022-12-02 20:55:48,Check application data,25388,,,6902
1633,2022-12-02 22:55:48,Normal Check,,1,,
1633,2022-12-03 00:55:48,Overall Assessment,,,,
1633,2022-12-03 02:55:48,Inform Customer,,,,
1634,2022-12-03 10:29:54,Customer applies for loan,,,,
1634,2022-12-03 12:29:54,Check application data,15457,,,9265
1634,2022-12-03 14:29:54,Normal Check,,4,,
1634,2022-12-03 16:29:54,Overall Assessment,,,,
1634,2022-12-03 18:29:54,Inform Customer,,,,
1635,2022-12-15 10:15:46,Customer applies for loan,,,,
1635,2022-12-15 12:15:46,Check application data,91442,,,6424
1635,2022-12-15 14:15:46,Extensive Check,,3,,
1635,2022-12-15 16:15:46,Overall Assessment,,,,
1635,2022-12-15 18:15:46,Inform Customer,,,,
1636,2022-12-04 09:17:38,Customer applies for loan,,,,
1636,2022-12-04 11:17:38,Check application data,34540,,,3817
1636,2022-12-04 13:17:38,Normal Check,,1,,
1636,2022-12-04 15:17:38,Overall Assessment,,,,
1636,2022-12-04 17:17:38,Inform Customer,,,,
1637,2022-12-11 09:21:47,Customer applies for loan,,,,
1637,2022-12-11 11:21:47,Check application data,34498,,,6491
1637,2022-12-11 13:21:47,Normal Check,,0,,
1637,2022-12-11 15:21:47,Overall Assessment,,,,
1637,2022-12-11 17:21:47,Inform Customer,,,,
1638,2022-12-09 15:50:30,Customer applies for loan,,,,
1638,2022-12-09 17:50:30,Check application data,36809,,,3875
1638,2022-12-09 19:50:30,Normal Check,,4,,
1638,2022-12-09 21:50:30,Overall Assessment,,,,
1638,2022-12-09 23:50:30,Inform Customer,,,,
1639,2022-12-13 17:58:31,Customer applies for loan,,,,
1639,2022-12-13 19:58:31,Check application data,29136,,,6241
1639,2022-12-13 21:58:31,Normal Check,,3,,
1639,2022-12-13 23:58:31,Overall Assessment,,,,
1639,2022-12-14 01:58:31,Inform Customer,,,,
1640,2022-12-05 14:01:04,Customer applies for loan,,,,
1640,2022-12-05 16:01:04,Check application data,44041,,,5969
1640,2022-12-05 18:01:04,Normal Check,,2,,
1640,2022-12-05 20:01:04,Overall Assessment,,,,
1640,2022-12-05 22:01:04,Inform Customer,,,,
1641,2022-12-10 14:24:37,Customer applies for loan,,,,
1641,2022-12-10 16:24:37,Check application data,57565,,,4343
1641,2022-12-10 18:24:37,Normal Check,,0,,
1641,2022-12-10 20:24:37,Overall Assessment,,,,
1641,2022-12-10 22:24:37,Inform Customer,,,,
1642,2022-12-11 15:32:35,Customer applies for loan,,,,
1642,2022-12-11 17:32:35,Check application data,88729,,,9554
1642,2022-12-11 19:32:35,Extensive Check,,3,,
1642,2022-12-11 21:32:35,Overall Assessment,,,,
1642,2022-12-11 23:32:35,Inform Customer,,,,
1643,2022-12-09 08:05:20,Customer applies for loan,,,,
1643,2022-12-09 10:05:20,Check application data,57749,,,7498
1643,2022-12-09 12:05:20,Normal Check,,4,,
1643,2022-12-09 14:05:20,Overall Assessment,,,,
1643,2022-12-09 16:05:20,Inform Customer,,,,
1644,2022-12-09 09:56:35,Customer applies for loan,,,,
1644,2022-12-09 11:56:35,Check application data,57496,,,4291
1644,2022-12-09 13:56:35,Normal Check,,2,,
1644,2022-12-09 15:56:35,Overall Assessment,,,,
1644,2022-12-09 17:56:35,Inform Customer,,,,
1645,2022-12-15 10:20:11,Customer applies for loan,,,,
1645,2022-12-15 12:20:11,Check application data,26313,,,7094
1645,2022-12-15 14:20:11,Normal Check,,1,,
1645,2022-12-15 16:20:11,Overall Assessment,,,,
1645,2022-12-15 18:20:11,Inform Customer,,,,
1646,2022-11-26 10:58:38,Customer applies for loan,,,,
1646,2022-11-26 12:58:38,Check application data,64541,,,1804
1646,2022-11-26 14:58:38,Normal Check,,1,,
1646,2022-11-26 16:58:38,Overall Assessment,,,,
1646,2022-11-26 18:58:38,Inform Customer,,,,
1647,2022-12-05 16:29:52,Customer applies for loan,,,,
1647,2022-12-05 18:29:52,Check application data,13913,,,3175
1647,2022-12-05 20:29:52,Normal Check,,1,,
1647,2022-12-05 22:29:52,Overall Assessment,,,,
1647,2022-12-06 00:29:52,Inform Customer,,,,
1648,2022-12-10 08:01:46,Customer applies for loan,,,,
1648,2022-12-10 10:01:46,Check application data,16446,,,8596
1648,2022-12-10 12:01:46,Normal Check,,2,,
1648,2022-12-10 14:01:46,Overall Assessment,,,,
1648,2022-12-10 16:01:46,Inform Customer,,,,
1649,2022-12-11 16:55:08,Customer applies for loan,,,,
1649,2022-12-11 18:55:08,Check application data,36138,,,2755
1649,2022-12-11 20:55:08,Normal Check,,1,,
1649,2022-12-11 22:55:08,Overall Assessment,,,,
1649,2022-12-12 00:55:08,Inform Customer,,,,
1650,2022-11-27 13:08:42,Customer applies for loan,,,,
1650,2022-11-27 15:08:42,Check application data,17183,,,5530
1650,2022-11-27 17:08:42,Normal Check,,2,,
1650,2022-11-27 19:08:42,Overall Assessment,,,,
1650,2022-11-27 21:08:42,Inform Customer,,,,
1651,2022-12-04 15:04:05,Customer applies for loan,,,,
1651,2022-12-04 17:04:05,Check application data,71225,,,2389
1651,2022-12-04 19:04:05,Normal Check,,3,,
1651,2022-12-04 21:04:05,Overall Assessment,,,,
1651,2022-12-04 23:04:05,Inform Customer,,,,
1652,2022-12-13 18:22:58,Customer applies for loan,,,,
1652,2022-12-13 20:22:58,Check application data,46534,,,8085
